0_cukA_hogA_1	0_cukA_hogA_1	0_cukI_hogI_1	0_cuke_hoge_1	0_cuke_hoMge_1	0_cukI_hoMgI_1	0_cukA_hoMgA_1	cukI_hoMgI						
nA_cAhie_1	nA_cAhie_1	nI_cAhie_1	ne_cAhie_1	ne_cAhieM_1									
nA_cAhie_2	nA_cAhie_2	nI_cAhie_2	ne_cAhie_2	ne_cAhieM_2									
nA_padawA_hE_1	nA_padawI_hEM_1	nA_padawA_hEM_1	nA_padawA_hE_1	nA_padawI_hE_1	nA_padawe_hEM_1	nA_padawe_hE_1							
nA_padawA_WA_1	nA_padawI_WIM_1	nA_padawA_WAM_1	nA_padawA_WA_1	nA_padawI_WI_1	nA_padawE_WeM_1	nA_padawe_We_1							
nA_hE_1	nA_hE_1	nA_hEM_1	nI_hE_1	nI_hEM_1									
nA_hogA_1	nA_hogI_1	nA_hoge_1	nA_hogeM_1	nI_hogI_1	ne_hoge_1	ne_hoMge_1	nI_hogIM_1	nA_hogA_1	nA_hogAM_1				
nA_padZA_1	nA_padZA_1	nI_padZI_1	ne_padZe_1	ne_padZeM_1									
nA_padZegA_1	nA_padZegA_1	nI_padZegI_1	ne_padZeMge_1	nA_padZegAM_1	nI_padZegIM_1	ne_padZege_1							
AI_xI_1	AI_xI_1	AI_xIM_1	AI_xIyA_1	AI_xIye_1	AI_xeM_1	AI_xIyeM_1							
wA_rahA_hE_1	wA_rahA_hE_1	wI_rahI_hE_1	we_rahe_hE_1	wA_rahA_hEM_1	wI_rahI_hEM_1	we_rahe_hEM_1							
wA_rahawA_hE_1	wA_rahawA_hE_1	wI_rahawI_hE_1	we_rahawe_hE_1	wA_rahawA_hEM_1	wI_rahawI_hEM_1	we_rahawe_hEM_1	wA_rahawI_hEM_1						
wA_rahA_WA_1	wA_rahA_WA_1	wI_rahI_WI_1	we_rahe_We_1	wA_rahA_WAM_1	wI_rahI_WIM_1	we_rahe_WeM_1							
wA_rahawA_WA_1	wA_rahawA_WA_1	wI_rahawI_WI_1	we_rahawe_We_1	wA_rahawA_WeM_1	wI_rahawI_WIM_1	we_rahawe_WeM_1							
wA_rahA_hogA_1	wA_rahA_hogA_1	wI_rahI_hogI_1	we_rahe_hoge_1	wA_rahA_hoMgA_1	wI_rahI_hoMgI_1	we_rahe_hoMge_1							
wA_rahawA_hogA_1	wA_rahawA_hogA_1	wI_rahawI_hogI_1	we_rahawe_hoge_1	wA_rahawA_hoMgA_1	wI_rahawI_hoMgI_1	we_rahawe_hoMge_1							
e_1	e_1	eM_1	subj_1	subj_e_1									
o_1	o_1	oM_1	ie_1	subj_1  eM_1    imper_o_1								
o_2	gA_2	geM_2	iegA_2	subj_1	iegAM_1						
nA_lagA_1	unk_lagI_1												
wA_rahA_1	wA_rahA_e_1												
